file,variant,orig_bytes,out_bytes,orig_curve_cmds,out_curve_cmds
civics/划.svg,seal,5287,929,29,35
civics/环.svg,bronze,6214,1033,80,62
civics/缓.svg,seal,7146,1027,26,34
civics/皇.svg,oracle,4797,628,19,24
civics/会.svg,oracle,8247,782,24,31
civics/货.svg,seal,3551,666,21,28
civics/机.svg,seal,2918,579,15,17
civics/级.svg,seal,4711,701,17,19
civics/极.svg,seal,4736,737,15,18
civics/集.svg,oracle,4398,537,17,21
civics/计.svg,seal,3852,694,22,24
civics/记.svg,bronze,21646,2397,123,127
civics/纪.svg,bronze,2682,717,28,36
civics/技.svg,seal,4017,620,15,17
civics/济.svg,bronze,4619,823,36,53
civics/家.svg,oracle,4396,507,14,16
civics/减.svg,bronze,5573,1072,65,69
civics/建.svg,oracle,5820,736,21,26
civics/交.svg,seal,2394,423,14,13
civics/焦.svg,bronze,2979,620,21,27
civics/教.svg,oracle,3957,656,22,32
civics/阶.svg,oracle,3871,694,25,33
civics/界.svg,seal,3234,747,26,33
